 n              xn1                  |f(xn1)|
 1  -1.031032844746564700e-001  6.3052373743e-001
 2  -7.536138084594976000e-002  2.0005738835e-001
 3  -5.443305678363046700e-002  6.3717779183e-002
 4  -3.851713996912490400e-002  2.0482724894e-002
 5  -2.617180124156621300e-002  6.7347739271e-003
 6  -1.611740059901918200e-002  2.3364763532e-003
 7  -6.897722980896983700e-003  9.0553644835e-004
 8  3.907740867301850000e-003  3.6442788544e-004
 9  1.480938567764730800e-002  4.2377342376e-005
10  1.680474581062634000e-002  7.7386919466e-006
11  1.740467202004171100e-002  9.5125060644e-007
 n              xn1                  |f(xn1)|
 0  -1.000000000000000000e+000  4.3475260063e+003
 1  -7.482032107967268000e-001  1.3755948177e+003
 2  -5.593527053920087600e-001  4.3525338718e+002
 3  -4.177104419431596500e-001  1.3772115313e+002
 4  -3.114719975185870600e-001  4.3578653708e+001
 5  -2.317825368288139200e-001  1.3790469424e+001
 6  -1.719982999119405200e-001  4.3647164687e+000
 7  -1.271318148708887600e-001  1.3819646375e+000
 8  -9.343410800868687200e-002  4.3794529588e-001
 9  -6.807808707711486600e-002  1.3907530059e-001
10  -4.891455480219361600e-002  4.4388378502e-002
11  -3.427549198785183300e-002  1.4342574572e-002
12  -2.279471978173937300e-002  4.7748592554e-003
13  -1.318697938994138400e-002  1.7037961146e-003
14  -3.801962616821821800e-003  6.8922763797e-004
15  8.087885894829151300e-003  2.2989266502e-004
16  1.543666558285735100e-002  2.9744450865e-005
17  1.700319957964429100e-002  5.2802176704e-006
18  1.744802179312618400e-002  5.3752109563e-007
 n              xn1                  |f(xn1)|
 0  1.000000000000000100e-001  7.5900000000e-002
 1  -1.255000000000011100e+001  1.0302088528e+005
 2  -9.384623097859808600e+000  3.2588784638e+004
 3  -7.011706423085126300e+000  1.0306999183e+004
 4  -5.233500260025728300e+000  3.2587950848e+003
 5  -3.901808707288346100e+000  1.0297603217e+003
 6  -2.905635523256954800e+000  3.2507422979e+002
 7  -2.161926042210496700e+000  1.0243972138e+002
 8  -1.608630133320992700e+000  3.2182503591e+001
 9  -1.199501488775103000e+000  1.0056141206e+001
10  -9.001882073904112800e-001  3.1126249583e+000
11  -6.852720829711525000e-001  9.4727719377e-001
12  -5.359977037649265000e-001  2.7933469836e-001
13  -4.385185739825039300e-001  7.7139693143e-002
14  -3.824568457131663500e-001  1.8082394406e-002
15  -3.585956823799677000e-001  2.6269134384e-003
16  -3.537503005539322500e-001  9.8614836943e-005
